Offense,team_pass_rate
Idaho State,0.640387275242047
Illinois,0.4885386819484241
Illinois State,0.463519313304721
Incarnate Word,0.5581395348837209
Indiana,0.45750708215297453
Indiana State,0.41150442477876104
Indiana Wesleyan,0.5789473684210527
Iowa,0.3783783783783784
Iowa State,0.493368700265252
Jackson State,0.38714499252615847
Jacksonville State,0.3814713896457766
James Madison,0.47050938337801607
Kansas,0.4297253634894992
Kansas State,0.476123595505618
Kennesaw State,0.41098169717138106
Kent State,0.5
Kentucky,0.4567307692307692
Kentucky Christian,0.5
Kentucky State,0.6296296296296297
LSU,0.612987012987013
Lafayette,0.4708171206225681
Lamar,0.45519203413940257
Lane College,0.49056603773584906
Lehigh,0.3497164461247637
Liberty,0.38543247344461307
Lincoln (CA),0.5555555555555556
Lindenwood,0.43919885550786836
Little Rock,0.5531914893617021
Long Island University,0.4131534569983137
Louisiana,0.4827586206896552
Louisiana Tech,0.5069252077562327
Louisville,0.5568345323741007
Maine,0.5137614678899083
Marist,0.6150506512301013
Marshall,0.4200988467874794
Maryland,0.6065128900949797
Massachusetts,0.44916540212443096
McKendree,0.5952380952380952
McNeese,0.43647234678624813
Memphis,0.55
Mercer,0.4348441926345609
Mercyhurst,0.6321353065539113
Merrimack,0.3592592592592593
Miami,0.5565552699228792
Miami (OH),0.5273865414710485
Michigan,0.41284403669724773
Michigan State,0.5196078431372549
Middle Tennessee,0.6095551894563427
Miles College,0.5901639344262295
Minnesota,0.5594713656387665
Mississippi State,0.5015576323987538
Mississippi Valley State,0.5043478260869565
Missouri,0.4967148488830486
Missouri State,0.5671191553544495
Monmouth,0.5513888888888889
Montana,0.5020408163265306
Montana State,0.3281990521327014
Morehead State,0.45611015490533563
Morgan State,0.4056338028169014
Murray State,0.4431314623338257
NC State,0.5335365853658537
Navy,0.25316455696202533
Nebraska,0.5234042553191489
Nevada,0.44877344877344877
New Hampshire,0.5498575498575499
New Mexico,0.49633967789165445
New Mexico State,0.42197452229299365
Nicholls,0.4961636828644501
Norfolk State,0.38271604938271603
North Alabama,0.49683544303797467
North Carolina,0.45789473684210524
North Carolina A&T,0.512012012012012
North Carolina Central,0.46371681415929206
North Dakota,0.4146685472496474
North Dakota State,0.38663484486873506
North Greenville,0.4126984126984127
North Texas,0.6224226804123711
Northern Arizona,0.4331983805668016
Northern Colorado,0.4269340974212034
Northern Illinois,0.4045393858477971
Northern Iowa,0.5118483412322274
Northern State,0.2549019607843137
Northwestern,0.5388513513513513
Northwestern State,0.4886561954624782
Notre Dame,0.468013468013468
Ohio,0.42653352353780316
Ohio State,0.47520184544405997
Oklahoma,0.500669344042838
Oklahoma State,0.5759398496240602
Old Dominion,0.47530864197530864
Ole Miss,0.5
Oregon,0.5142150803461063
Oregon State,0.44862518089725034
Penn State,0.4270205066344994
Pennsylvania,0.482078853046595
Pittsburgh,0.5819354838709677
Point University,0.6833333333333333
Portland State,0.40717628705148207
Prairie View A&M,0.4875444839857651
Presbyterian,0.49203821656050956
Princeton,0.5469387755102041
Purdue,0.5081669691470054
Rhode Island,0.47334410339256866
Rice,0.6353135313531353
Richmond,0.3882978723404255
Robert Morris,0.5400981996726678
Roosevelt,0.6666666666666666
Rutgers,0.468
SE Louisiana,0.48828125
SMU,0.4482288828337875
Sacramento State,0.5487256371814093
Sacred Heart,0.4024767801857585
Sam Houston,0.41621621621621624
Samford,0.5544871794871795
San Diego,0.5444646098003629
San Diego State,0.5100154083204931
San José State,0.6465753424657534
Savannah St,0.4864864864864865
Shorter,0.4057971014492754
Sioux Falls,0.375
South Alabama,0.47685834502103785
South Carolina,0.4323258869908016
South Carolina State,0.5176470588235295
South Dakota,0.409967845659164
South Dakota State,0.433112582781457
South Florida,0.5092348284960422
Southeast Missouri State,0.6472081218274112
Southern,0.4966887417218543
Southern Illinois,0.5664819944598338
Southern Miss,0.48951048951048953
Southern Utah,0.4247159090909091
St. Anselm,0.4339622641509434
St. Francis (PA),0.46745562130177515
St. Thomas (MN),0.4787985865724382
Stanford,0.5099846390168971
Stephen F. Austin,0.5332348596750369
Stetson,0.6544585987261147
Stonehill,0.4178321678321678
Stony Brook,0.4265625
Syracuse,0.6370192307692307
TCU,0.5840108401084011
Tarleton State,0.40804597701149425
Temple,0.5590551181102362
Tennessee,0.4248768472906404
Tennessee State,0.5482456140350878
